"customer_id","credit_score","country","gender","age","tenure","balance","products_number","credit_card","active_member","estimated_salary","churn"
15765192,564,"France","Male",26,7,84006.88,2,0,0,183490.99,0
15631882,688,"Germany","Male",45,9,103399.87,1,0,0,129870.93,0
15777586,784,"Spain","Female",42,2,109052.04,2,1,0,6409.55,0
15577107,657,"Spain","Female",22,6,0,3,0,1,168412.07,1
15722731,653,"France","Male",46,0,119556.1,1,1,0,78250.13,1
15568429,633,"Spain","Female",46,3,0,2,1,0,120250.58,0
15813718,651,"Spain","Male",45,4,0,2,0,0,193009.21,0
15752801,518,"Germany","Male",29,9,125961.74,2,1,0,160303.08,1
15761340,521,"France","Male",22,5,0,2,1,1,99828.45,0
15667265,729,"France","Male",39,4,121404.64,1,1,1,159618.17,0
15778157,598,"Spain","Male",27,8,90721.52,2,1,0,109296.18,0
15755722,554,"France","Male",24,10,0,1,0,0,92180.62,0
15637690,622,"Germany","Female",34,7,98675.74,1,1,0,138906.85,1
15709447,584,"France","Female",26,0,146286.22,1,1,0,105105.35,0
15604515,737,"Germany","Female",22,10,111543.26,2,0,0,106327.85,0
15672966,682,"Spain","Female",64,9,0,2,1,1,103318.44,0
15675949,696,"Spain","Female",43,4,0,2,1,1,66406.37,0
15680736,597,"Germany","Female",72,6,124978.19,2,1,1,7144.46,0
15591169,788,"Germany","Female",49,4,137455.99,1,1,0,184178.29,1
15725429,623,"Germany","Male",33,8,96759.42,1,1,1,174777.98,0
15801548,661,"France","Female",31,7,144162.3,2,1,1,14490.79,0
15699430,618,"France","Female",35,10,0,2,1,0,180439.75,0
15607877,576,"Spain","Male",26,8,0,2,0,1,34101.06,0
15625023,682,"France","Male",40,4,0,1,0,1,105352.55,0
15774586,692,"Germany","Female",43,10,118588.83,1,1,1,161241.65,1
15592078,590,"Germany","Female",27,8,123599.49,2,1,0,1676.92,0
15633525,631,"France","Male",29,7,0,2,0,1,125877.22,0
15691785,850,"France","Male",61,1,0,1,1,0,53067.83,1
15699637,694,"Spain","Male",57,8,116326.07,1,1,1,117704.65,0
15682021,471,"Germany","Male",23,6,104592.55,2,1,0,131736.23,0
15570194,412,"France","Male",29,5,0,2,0,0,12510.53,0
15680449,431,"Germany","Female",44,2,138843.7,1,1,0,37688.31,1
15714634,837,"France","Male",26,4,89900.24,2,1,0,175477.03,0
15625623,567,"France","Female",45,4,0,2,0,1,121053.19,0
15672637,571,"France","Female",30,4,85755.86,1,1,0,145115.95,0
15809309,689,"Spain","Female",40,5,154251.67,1,0,1,118319.5,0
15617790,626,"France","Female",29,4,105767.28,2,0,0,41104.82,0
15606472,585,"France","Female",38,5,0,1,1,1,87363.56,0
15774727,757,"Germany","Female",34,1,129398.01,2,0,0,44965.44,0
15572374,733,"Spain","Male",36,1,0,2,0,1,108377.82,0
15775797,607,"Spain","Female",32,7,0,3,0,1,10674.62,0
15612627,627,"Germany","Male",29,5,139541.58,2,1,0,80607.33,0
15668347,624,"France","Male",36,6,0,2,0,0,84635.64,0
15664539,683,"Spain","Male",35,9,61172.04,1,0,0,82951.12,0
15705676,690,"France","Female",35,9,107944.33,2,0,0,48478.47,0
15781598,756,"Germany","Male",41,6,149049.92,1,0,1,50422.36,1
15672704,809,"France","Female",24,4,0,2,1,0,193518.76,0
15794479,767,"Spain","Male",77,8,149083.7,1,1,1,190146.83,0
15610147,632,"France","Male",60,2,0,2,0,1,2085.32,0
15709451,646,"Germany","Female",35,1,121952.75,2,1,1,142839.82,0
15655082,607,"France","Female",48,4,112070.86,3,1,0,173568.3,1
15793197,676,"France","Female",34,8,100359.54,1,0,0,46038.28,0
15635197,640,"Germany","Male",26,5,90402.77,1,1,1,3298.65,0
15697100,772,"Germany","Female",48,6,108736.52,1,1,0,184564.67,1
15804602,772,"Germany","Male",30,6,99785.28,2,0,0,197238.03,0
15644119,531,"France","Male",31,3,0,1,1,1,42589.33,0
15657105,726,"Spain","Male",36,2,0,1,1,0,195192.4,0
15623744,634,"France","Male",34,8,105302.66,1,1,1,123164.97,0
15721487,739,"France","Female",27,6,0,1,1,1,57572.38,0
15568162,527,"Spain","Male",53,8,0,1,1,1,51711.57,0
15651674,438,"Spain","Female",54,2,0,1,0,0,191763.07,1
