"customer_id","credit_score","country","gender","age","tenure","balance","products_number","credit_card","active_member","estimated_salary","churn"
15634602,619,"France","Female",42,2,0,1,1,1,101348.88,1
15647311,608,"Spain","Female",41,1,83807.86,1,0,1,112542.58,0
15656148,376,"Germany","Female",29,4,115046.74,4,1,0,119346.88,1
15592389,684,"France","Male",27,2,134603.88,1,1,1,71725.73,0
15767821,528,"France","Male",31,6,102016.72,2,0,0,80181.12,0
15737173,497,"Spain","Male",24,3,0,2,1,0,76390.01,0
15661507,587,"Spain","Male",45,6,0,1,0,0,158684.81,0
15597945,636,"Spain","Female",32,8,0,2,1,0,138555.46,0
15699309,510,"Spain","Female",38,4,0,1,1,0,118913.53,1
15736816,756,"Germany","Male",36,2,136815.64,1,1,1,170041.95,0
15732963,722,"Spain","Female",29,9,0,2,1,1,142033.07,0
15729599,804,"Spain","Male",33,7,76548.6,1,0,1,98453.45,0
15585768,582,"Germany","Male",41,6,70349.48,2,0,1,178074.04,0
15771573,637,"Germany","Female",39,9,137843.8,1,1,1,117622.8,1
15771873,776,"Germany","Female",37,2,103769.22,2,1,0,194099.12,0
15768193,585,"Germany","Male",36,5,146050.97,2,0,0,86424.57,0
15569590,601,"Germany","Male",42,1,98495.72,1,1,0,40014.76,1
15760861,619,"France","Male",43,1,125211.92,1,1,1,113410.49,0
15630053,656,"France","Male",45,5,127864.4,1,1,0,87107.57,0
15592461,603,"Germany","Male",26,4,109166.37,1,1,1,92840.67,0
15638424,661,"Germany","Female",35,5,150725.53,2,0,1,113656.85,0
15755648,675,"France","Female",21,8,98373.26,1,1,0,18203,0
15620344,813,"France","Male",29,6,0,1,1,0,33953.87,0
15812518,657,"Spain","Female",37,0,163607.18,1,0,1,44203.55,0
15779052,604,"Germany","Female",25,5,157780.84,2,1,1,58426.81,0
15770811,519,"France","Male",36,9,0,2,0,1,145562.4,0
15780961,735,"France","Female",21,1,178718.19,2,1,0,22388,0
15614049,664,"France","Male",55,8,0,2,1,1,139161.64,0
15803136,416,"Germany","Female",41,10,122189.66,2,1,0,98301.61,0
15663706,777,"France","Female",32,2,0,1,1,0,136458.19,1
15738751,493,"France","Female",46,4,0,2,1,0,1907.66,0
15805254,652,"Spain","Female",75,10,0,2,1,1,114675.75,0
15757535,647,"Spain","Female",44,5,0,3,1,1,174205.22,1
15809248,524,"France","Female",36,10,0,2,1,0,109614.57,0
15738721,773,"Spain","Male",41,9,102827.44,1,0,1,64595.25,0
15743192,623,"France","Female",44,6,0,2,0,0,167162.43,0
15599195,582,"Germany","Male",32,1,88938.62,1,1,1,10054.53,0
15812878,785,"Germany","Female",36,2,99806.85,1,0,1,36976.52,0
